movie,stripes,first_stripe,a_x,a_y,p_x,p_y,ap_angle,d_up,a_left
1,4,1,-572.3875,186.275,2045.2625,91.775,-0.036085412,0,1
2,5,3,2193.3125,33.5,-438.5125,194.15,3.08062701,0,0
3,4,3,-1035.4375,211.475,1501.8875,41.375,-0.066938946,1,1
4,5,3,2235.8375,362.675,-315.6625,-1.15,-2.99995487,1,0
5,4,4,-1285.8625,8.3,1331.7875,192.575,0.070281166,0,1
6,4,4,-1307.9125,189.425,1276.6625,194.15,0.001828152,0,1
7,5,3,-1119.7,192.575,1323.125,69.725,-0.050247803,1,1
8,3,1,1410.5375,68.15,-1315.7875,261.875,3.07065469,0,0
9,4,1,-493.6375,52.4,2109.8375,146.9,0.036281712,0,1
10,3,1,-496.7875,99.65,2168.1125,156.35,0.021273386,0,1
11,4,1,-556.6375,145.325,2202.7625,112.25,-0.011985727,1,1
