fluo_bin,mean_fluo,stripe_id,n_dup_orig,n_dup_final,kon_med,kon_ste,koff_med,koff_ste,r_med,r_ste
1,14474.8000594765,0,16,12,0.00135640650039851,0.000225627514967397,0.0136354159347331,0.00402190689653519,766.999413094574,71.9130517036388
1,14474.8000594765,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,14474.8000594765,2,24,13,0.00134414498501196,0.000165910512510919,0.0109367152395173,0.00262416517556352,644.796284797893,79.4803683190682
1,14474.8000594765,3,24,18,0.00137375572005224,0.000361610597011622,0.0158747762181075,0.00730710133381219,756.383037395932,85.0531242977623
1,14474.8000594765,4,52,16,0.00107483098141548,0.000265554047017064,0.00769648804721248,0.0128205541864108,709.081375600084,341.724623107809
1,14474.8000594765,5,27,23,0.00122542632201946,0.000263064173591812,0.0118798468694462,0.00462476907303977,776.348119196697,92.7482366202973
1,14474.8000594765,6,13,11,0.00166155477139554,0.000893703293851687,0.00761050682997529,0.00955266140414015,739.736187860378,58.8565930651026
1,14474.8000594765,7,28,26,0.000710869892809215,0.000327234813959155,0.00601500795082811,0.0045146570030397,716.184352292748,82.6274402772915
2,32153.3830980787,0,12,10,0.00243332944628141,0.000478211114964883,0.0130588659546665,0.00410512062364238,922.392501454462,81.2861334916491
2,32153.3830980787,1,20,12,0.00244422293582492,0.000879386547763233,0.0117337642440447,0.00385092625235908,853.802935631117,120.454428301656
2,32153.3830980787,2,55,43,0.00326928235978115,0.000453368471867877,0.0166928148460682,0.00594448865621932,925.503073033237,168.279002225454
2,32153.3830980787,3,21,21,0.00271185851172145,0.000314319709575955,0.0108590732946827,0.00176319197783017,801.429876387293,78.4122895542664
2,32153.3830980787,4,55,55,0.00263979819162919,0.000687751926456478,0.0107753666847734,0.00333596963729281,844.611085035057,45.4676432793898
2,32153.3830980787,5,29,25,0.00165124513534668,0.000693615514536249,0.00882357318935957,0.00736227969231659,937.906594049928,85.317209075485
2,32153.3830980787,6,45,45,0.00213482320129647,0.000599903825882137,0.0122170588792691,0.00221095824477231,973.266152189552,81.2208379705814
2,32153.3830980787,7,21,21,0.00257770427953713,0.000562547952864102,0.0111487780758279,0.00149928485513751,902.035590693449,60.3520513631864
3,45288.4026952618,0,12,12,0.00379398643008479,0.000381695410125358,0.0134243046779126,0.00506161620261711,1059.54357971482,168.637259416698
3,45288.4026952618,1,11,11,0.00298839564533402,0.00122449576277755,0.0123121250036265,0.00513061838970902,1003.34593265173,179.233252901564
3,45288.4026952618,2,55,55,0.00403033113502978,0.000532002899645869,0.0121768046469649,0.00179108860508435,912.055167801308,43.2753284471922
3,45288.4026952618,3,21,21,0.00408109127731705,0.000482615717910325,0.0155542675564396,0.00229017535602154,1042.680962778,121.395270903526
3,45288.4026952618,4,55,55,0.00391901485842667,0.000523355290719067,0.0119663508810448,0.00293642158345601,935.126862229275,82.4603835896633
3,45288.4026952618,5,11,11,0.00353287316328732,0.000986429904513267,0.0109936473943525,0.00568687009085125,1041.17273175913,100.229475021173
3,45288.4026952618,6,55,49,0.00310742383369948,0.000727706163606427,0.0111439701707062,0.00557055498494499,986.045335960213,186.05138653448
3,45288.4026952618,7,21,20,0.00314853339673277,0.000477921658367137,0.0116096749123001,0.00135076203448978,1137.45751484882,93.5064170079347
4,57787.2521610736,0,12,12,0.00468454588721338,0.000483876985211865,0.0140715912169822,0.00225855405812562,1173.64503291167,69.1639221375576
4,57787.2521610736,1,11,11,0.00322014327549778,0.000414053427891041,0.0102879342177943,0.00254505318584654,1184.3915537423,92.970470733422
4,57787.2521610736,2,55,55,0.00546025331599275,0.000598774850196875,0.0140393968555237,0.00106726437601961,1102.682901513,88.1683606947895
4,57787.2521610736,3,21,21,0.00520060979810627,0.000450537643430916,0.013145916101189,0.000829552446923381,1065.54363157701,41.3259648572782
4,57787.2521610736,4,54,54,0.00477049332212977,0.000745427192472465,0.0132286509101356,0.00177743504181725,1169.14413378174,57.1254684532059
4,57787.2521610736,5,11,11,0.00415853070818741,0.000759192081619157,0.0132329183387539,0.00180141545900956,1183.77225233255,62.4012005215723
4,57787.2521610736,6,55,55,0.00353502283925123,0.000642433407962317,0.0107623721980997,0.00188240370552044,1198.98222831506,151.781403097175
4,57787.2521610736,7,21,21,0.00527800903726066,0.000624372335798847,0.012802150677823,0.00182086664998168,1070.62597490437,59.0995497343085
5,69882.3272887129,0,45,45,0.00568023215842561,0.000377541168173431,0.0119708193114,0.00471894494729046,1220.74482587538,94.6531343874401
